,",Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Date,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM"
315,"5,Alec Burks,29:44,,,,,,,,,,,,,,,,,,,,,.720,.636,.364,.455,0.0,13.7,7.4,6.5,0.0,0.0,0.0,20.6,152,105,5.7"
316,"6,Al Horford,18:34,,,,,,,,,,,,,,,,,,,,,.475,.400,.400,.600,0.0,16.5,8.8,17.7,2.7,8.4,0.0,15.8,113,94,6.3"
317,"7,Furkan Korkmaz,17:52,,,,,,,,,,,,,,,,,,,,,.400,.400,.200,.000,6.6,0.0,3.1,0.0,0.0,4.4,0.0,13.0,95,109,-4.5"
318,"8,Matisse Thybulle,16:21,,,,,,,,,,,,,,,,,,,,,.000,.000,.500,.000,0.0,0.0,0.0,0.0,3.1,0.0,0.0,5.7,0,105,-7.7"
319,"9,Shake Milton,13:42,,,,,,,,,,,,,,,,,,,,,.563,.500,.250,.250,0.0,7.4,4.0,12.8,0.0,0.0,18.4,18.4,99,108,-4.6"
320,"10,Norvel Pelle,265,,,,,,,,,,,,,,,,,,,,,.552,.465,.256,.407,24.4,71.2,49.5,50.0,9.6,8.8,11.4,100.0,107.0,99.4,"
321,"11,Kyle O'Quinn,Mike Scott,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
322,"0,Josh Richardson,41:40,5,17,.294,3,11,.273,4,4,1.000,2,1,3,3,2,2,2,2,17,-14,8/21/2020,,,,,,,,,,,,,,,"
323,"1,Tobias Harris,39:14,6,19,.316,0,5,.000,3,4,.750,8,7,15,4,1,1,3,3,15,-14,8/21/2020,,,,,,,,,,,,,,,"
324,"2,Al Horford,37:53,1,5,.200,0,2,.000,4,6,.667,3,7,10,0,1,2,0,4,6,-4,8/21/2020,,,,,,,,,,,,,,,"
325,"3,Shake Milton,37:38,6,18,.333,3,9,.333,2,2,1.000,1,5,6,3,1,0,2,3,17,-7,8/21/2020,,,,,,,,,,,,,,,"
326,"4,Joel Embiid,35:24,7,20,.350,2,5,.400,14,16,.875,4,9,13,1,1,1,4,5,30,-18,8/21/2020,,,,,,,,,,,,,,,"
327,"5,Alec Burks,21:43,3,10,.300,1,3,.333,2,2,1.000,1,2,3,2,0,1,0,2,9,+3,8/21/2020,,,,,,,,,,,,,,,"
328,"6,Furkan Korkmaz,12:58,0,4,.000,0,3,.000,0,0,,0,4,4,0,0,0,0,0,0,+11,8/21/2020,,,,,,,,,,,,,,,"
329,"7,Matisse Thybulle,8:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2,8/21/2020,,,,,,,,,,,,,,,"
330,"8,Mike Scott,4:59,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,0,0,0,0,+5,8/21/2020,,,,,,,,,,,,,,,"
331,"9,Raul Neto,240,28,95,.295,9,39,.231,29,34,.853,20,37,57,14,6,7,12,19,94,,8/21/2020,,,,,,,,,,,,,,,"
332,"10,Norvel Pelle,8/21/2020,Kyle O'Quinn,8/21/2020,Marial Shayok,8/21/2020,Team Totals,8/21/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
333,"0,Josh Richardson,41:40,,,,,,,,,,,,,,,,,,,,,.453,.382,.647,.235,3.7,2.9,3.4,15.5,2.3,4.1,9.6,19.6,100,99,3.6"
334,"1,Tobias Harris,39:14,,,,,,,,,,,,,,,,,,,,,.361,.316,.263,.211,15.8,21.4,18.0,23.7,1.2,2.2,12.6,23.8,88,102,1.1"
335,"2,Al Horford,37:53,,,,,,,,,,,,,,,,,,,,,.393,.200,.400,1.200,6.1,22.2,12.4,0.0,1.3,4.5,0.0,7.9,106,99,-3.9"
336,"3,Shake Milton,37:38,,,,,,,,,,,,,,,,,,,,,.450,.417,.500,.111,2.1,15.9,7.5,18.8,1.3,0.0,9.6,21.8,97,105,-0.1"
337,"4,Joel Embiid,35:24,,,,,,,,,,,,,,,,,,,,,.555,.400,.250,.800,8.7,30.5,17.3,7.3,1.4,2.4,12.9,34.5,111,101,7.4"
338,"5,Alec Burks,21:43,,,,,,,,,,,,,,,,,,,,,.414,.350,.300,.200,3.6,11.1,6.5,20.7,0.0,3.9,0.0,19.7,106,104,1.6"
339,"6,Furkan Korkmaz,12:58,,,,,,,,,,,,,,,,,,,,,.000,.000,.750,.000,0.0,37.0,14.5,0.0,0.0,0.0,0.0,12.1,0,105,-14.5"
340,"7,Matisse Thybulle,8:31,,,,,,,,,,,,,,,,,,,,,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.2,0,109,-16.0"
341,"8,Mike Scott,4:59,,,,,,,,,,,,,,,,,,,,,.000,.000,1.000,.000,15.5,48.2,28.3,34.4,0.0,0.0,0.0,7.9,78,104,1.7"
342,"9,Raul Neto,240,,,,,,,,,,,,,,,,,,,,,.427,.342,.411,.358,32.3,92.5,55.9,50.0,6.0,12.5,9.8,100.0,94.0,102.0,"
343,"10,Norvel Pelle,Kyle O'Quinn,,,,,,,,,,,,,,,,,,,,,Marial Shayok,Team Totals,,,,,,,,,,,,,"
344,"0,Tobias Harris,41:23,10,12,.833,3,3,1.000,0,0,,1,7,8,3,0,1,3,0,23,+15,1/22/2021,,,,,,,,,,,,,,,"
345,"1,Ben Simmons,35:45,7,10,.700,0,0,,1,3,.333,1,2,3,11,2,1,2,5,15,+7,1/22/2021,,,,,,,,,,,,,,,"
346,"2,Joel Embiid,30:13,11,15,.733,2,2,1.000,14,15,.933,3,8,11,3,1,0,5,5,38,+13,1/22/2021,,,,,,,,,,,,,,,"
347,"3,Seth Curry,27:01,6,10,.600,3,5,.600,0,0,,0,0,0,1,1,0,2,4,15,+18,1/22/2021,,,,,,,,,,,,,,,"
348,"4,Danny Green,24:34,2,7,.286,1,6,.167,0,0,,0,3,3,1,1,1,0,1,5,+6,1/22/2021,,,,,,,,,,,,,,,"
349,"5,Matisse Thybulle,20:52,4,8,.500,1,3,.333,0,0,,1,3,4,0,0,2,0,2,9,+7,1/22/2021,,,,,,,,,,,,,,,"
350,"6,Shake Milton,18:28,2,7,.286,0,2,.000,2,2,1.000,0,0,0,2,1,0,1,3,6,-6,1/22/2021,,,,,,,,,,,,,,,"
351,"7,Dwight Howard,17:47,0,2,.000,0,0,,3,4,.750,4,8,12,0,3,2,5,2,3,-1,1/22/2021,,,,,,,,,,,,,,,"
352,"8,Furkan Korkmaz,17:42,2,9,.222,2,7,.286,0,0,,0,1,1,2,0,0,1,1,6,0,1/22/2021,,,,,,,,,,,,,,,"
353,"9,Tyrese Maxey,6:12,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,2,+1,1/22/2021,,,,,,,,,,,,,,,"
354,"10,Paul Reed,240,45,81,.556,12,28,.429,20,24,.833,10,35,45,23,9,7,19,23,122,,1/22/2021,,,,,,,,,,,,,,,"
355,"11,Tony Bradley,1/22/2021,Isaiah Joe,1/22/2021,Terrance Ferguson,1/22/2021,Team Totals,1/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
356,"0,Tobias Harris,41:23,,,,,,,,,,,,,,,,,,,,,.958,.958,.250,.000,3.6,18.0,12.1,10.4,0.0,1.9,20.0,15.7,150,117,7.4"
357,"1,Ben Simmons,35:45,,,,,,,,,,,,,,,,,,,,,.663,.700,.000,.300,4.2,6.0,5.2,41.5,2.8,2.2,15.0,16.2,143,114,8.2"
358,"2,Joel Embiid,30:13,,,,,,,,,,,,,,,,,,,,,.880,.800,.133,1.000,14.9,28.2,22.7,17.3,1.6,0.0,18.8,38.2,150,112,15.0"
359,"3,Seth Curry,27:01,,,,,,,,,,,,,,,,,,,,,.750,.750,.500,.000,0.0,0.0,0.0,5.2,1.8,0.0,16.7,19.3,124,119,-1.4"
360,"4,Danny Green,24:34,,,,,,,,,,,,,,,,,,,,,.357,.357,.857,.000,0.0,13.0,7.6,4.8,2.0,3.3,0.0,12.4,93,113,-3.4"
361,"5,Matisse Thybulle,20:52,,,,,,,,,,,,,,,,,,,,,.563,.563,.375,.000,7.2,15.3,11.9,0.0,0.0,7.7,0.0,16.6,127,113,1.1"
362,"6,Shake Milton,18:28,,,,,,,,,,,,,,,,,,,,,.381,.286,.286,.286,0.0,0.0,0.0,13.1,2.7,0.0,11.3,20.9,91,117,-11.7"
363,"7,Dwight Howard,17:47,,,,,,,,,,,,,,,,,,,,,.399,.000,.000,2.000,33.7,48.0,42.1,0.0,8.3,9.0,57.1,21.4,64,85,-5.3"
364,"8,Furkan Korkmaz,17:42,,,,,,,,,,,,,,,,,,,,,.333,.333,.778,.000,0.0,6.0,3.5,13.7,0.0,0.0,10.0,24.5,82,122,-13.0"
365,"9,Tyrese Maxey,6:12,,,,,,,,,,,,,,,,,,,,,1.000,1.000,.000,.000,0.0,51.6,30.2,0.0,0.0,0.0,0.0,7.0,200,110,3.6"
366,"10,Paul Reed,240,,,,,,,,,,,,,,,,,,,,,.666,.630,.346,.296,31.3,77.8,58.4,51.1,9.2,11.7,17.2,100.0,125.2,112.9,"
367,"11,Tony Bradley,Isaiah Joe,,,,,,,,,,,,,,,,,,,,,Terrance Ferguson,Team Totals,,,,,,,,,,,,,"
368,"0,Joel Embiid,34:50,10,17,.588,1,1,1.000,8,9,.889,2,12,14,2,0,1,3,3,29,-2,12/23/2020,,,,,,,,,,,,,,,"
369,"1,Ben Simmons,32:25,7,12,.583,0,0,,2,6,.333,1,8,9,7,2,3,4,3,16,-2,12/23/2020,,,,,,,,,,,,,,,"
370,"2,Seth Curry,32:16,4,8,.500,1,5,.200,4,4,1.000,0,0,0,4,2,0,1,4,13,-1,12/23/2020,,,,,,,,,,,,,,,"
371,"3,Tobias Harris,31:08,3,13,.231,0,4,.000,4,4,1.000,4,4,8,0,0,1,2,4,10,-7,12/23/2020,,,,,,,,,,,,,,,"
372,"4,Danny Green,18:16,1,6,.167,0,4,.000,0,0,,0,0,0,2,2,0,1,2,2,-27,12/23/2020,,,,,,,,,,,,,,,"
373,"5,Shake Milton,29:44,6,11,.545,2,4,.500,5,7,.714,0,1,1,3,3,0,0,3,19,+33,12/23/2020,,,,,,,,,,,,,,,"
374,"6,Furkan Korkmaz,20:11,4,9,.444,3,6,.500,0,0,,0,1,1,0,1,2,2,1,11,+14,12/23/2020,,,,,,,,,,,,,,,"
375,"7,Mike Scott,16:52,1,3,.333,1,3,.333,0,0,,0,2,2,0,1,0,0,1,3,+13,12/23/2020,,,,,,,,,,,,,,,"
376,"8,Dwight Howard,13:10,2,2,1.000,0,0,,0,0,,3,7,10,2,0,1,2,3,4,+8,12/23/2020,,,,,,,,,,,,,,,"
377,"9,Tyrese Maxey,10:51,3,6,.500,0,1,.000,0,0,,0,2,2,2,0,0,1,0,6,+3,12/23/2020,,,,,,,,,,,,,,,"
378,"10,Matisse Thybulle,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2,12/23/2020,,,,,,,,,,,,,,,"
379,"11,Terrance Ferguson,240,41,87,.471,8,28,.286,23,30,.767,10,37,47,22,11,8,16,25,113,,12/23/2020,,,,,,,,,,,,,,,"
380,"12,Tony Bradley,12/23/2020,Dakota Mathias,12/23/2020,Isaiah Joe,12/23/2020,Team Totals,12/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
381,"0,Joel Embiid,34:50,,,,,,,,,,,,,,,,,,,,,.692,.618,.059,.529,6.1,39.4,22.2,10.1,0.0,2.4,12.5,28.4,127,104,5.6"
382,"1,Ben Simmons,32:25,,,,,,,,,,,,,,,,,,,,,.546,.583,.000,.500,3.3,28.2,15.3,33.8,2.8,7.7,21.5,23.8,100,94,5.7"
383,"2,Seth Curry,32:16,,,,,,,,,,,,,,,,,,,,,.666,.563,.625,.500,0.0,0.0,0.0,17.0,2.8,0.0,9.3,13.8,135,104,0.1"
384,"3,Tobias Harris,31:08,,,,,,,,,,,,,,,,,,,,,.339,.231,.308,.308,13.7,14.7,14.2,0.0,0.0,2.7,11.9,22.2,79,106,-13.3"
385,"4,Danny Green,18:16,,,,,,,,,,,,,,,,,,,,,.167,.167,.667,.000,0.0,0.0,0.0,13.7,5.0,0.0,14.3,15.8,47,99,-9.4"
386,"5,Shake Milton,29:44,,,,,,,,,,,,,,,,,,,,,.675,.636,.364,.636,0.0,3.8,1.9,15.5,4.6,0.0,0.0,19.6,145,100,8.6"
387,"6,Furkan Korkmaz,20:11,,,,,,,,,,,,,,,,,,,,,.611,.611,.667,.000,0.0,5.7,2.7,0.0,2.2,8.2,18.2,22.5,93,97,3.4"
388,"7,Mike Scott,16:52,,,,,,,,,,,,,,,,,,,,,.500,.500,1.000,.000,0.0,13.6,6.5,0.0,2.7,0.0,0.0,7.3,103,103,-1.6"
389,"8,Dwight Howard,13:10,,,,,,,,,,,,,,,,,,,,,1.000,1.000,.000,.000,24.3,60.8,41.9,21.6,0.0,6.3,50.0,12.5,124,97,4.1"
390,"9,Tyrese Maxey,10:51,,,,,,,,,,,,,,,,,,,,,.500,.500,.167,.000,0.0,21.1,10.2,31.9,0.0,0.0,14.3,26.7,96,108,-3.6"
391,"10,Matisse Thybulle,0:17,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,99,-64.7"
392,"11,Isaiah Joe,240,,,,,,,,,,,,,,,,,,,,,.564,.517,.322,.345,22.2,88.1,54.0,53.7,10.4,13.8,13.8,100.0,106.9,101.2,"
393,"12,Terrance Ferguson,Tony Bradley,,,,,,,,,,,,,,,,,,,,,Dakota Mathias,Team Totals,,,,,,,,,,,,,"
394,"0,Joel Embiid,37:23,8,18,.444,1,5,.200,13,18,.722,2,8,10,0,3,2,4,5,30,-8,8/23/2020,,,,,,,,,,,,,,,"
395,"1,Josh Richardson,36:27,2,10,.200,2,5,.400,8,9,.889,1,2,3,5,0,0,2,5,14,+10,8/23/2020,,,,,,,,,,,,,,,"
396,"2,Al Horford,36:19,6,10,.600,0,1,.000,0,1,.000,4,6,10,3,0,1,0,4,12,-10,8/23/2020,,,,,,,,,,,,,,,"
397,"3,Tobias Harris,35:06,7,12,.583,2,5,.400,4,4,1.000,0,5,5,2,0,0,1,4,20,+6,8/23/2020,,,,,,,,,,,,,,,"
398,"4,Shake Milton,33:18,5,11,.455,2,6,.333,2,2,1.000,0,4,4,1,1,0,0,5,14,-2,8/23/2020,,,,,,,,,,,,,,,"
399,"5,Alec Burks,29:48,6,16,.375,1,8,.125,0,0,,1,2,3,1,1,2,0,2,13,-11,8/23/2020,,,,,,,,,,,,,,,"
400,"6,Raul Neto,11:00,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,1,0,3,-5,8/23/2020,,,,,,,,,,,,,,,"
401,"7,Matisse Thybulle,9:29,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-7,8/23/2020,,,,,,,,,,,,,,,"
402,"8,Mike Scott,6:48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0,8/23/2020,,,,,,,,,,,,,,,"
403,"9,Furkan Korkmaz,4:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7,8/23/2020,,,,,,,,,,,,,,,"
404,"10,Kyle O'Quinn,240,35,82,.427,9,34,.265,27,34,.794,8,31,39,12,7,5,8,25,106,,8/23/2020,,,,,,,,,,,,,,,"
405,"11,Norvel Pelle,8/23/2020,Marial Shayok,8/23/2020,Team Totals,8/23/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
406,"0,Joel Embiid,37:23,,,,,,,,,,,,,,,,,,,,,.579,.472,.278,1.000,6.4,25.1,15.9,0.0,4.1,5.5,13.4,36.6,108,105,4.0"
407,"1,Josh Richardson,36:27,,,,,,,,,,,,,,,,,,,,,.501,.300,.500,.900,3.3,6.4,4.9,20.3,0.0,0.0,12.5,20.0,109,123,-2.5"
408,"2,Al Horford,36:19,,,,,,,,,,,,,,,,,,,,,.575,.600,.100,.100,13.2,19.3,16.3,14.6,0.0,2.8,0.0,13.1,139,118,3.0"
409,"3,Tobias Harris,35:06,,,,,,,,,,,,,,,,,,,,,.727,.667,.417,.333,0.0,16.7,8.4,10.8,0.0,0.0,6.8,19.2,142,120,4.5"
410,"4,Shake Milton,33:18,,,,,,,,,,,,,,,,,,,,,.589,.545,.545,.182,0.0,14.1,7.1,5.2,1.5,0.0,0.0,16.3,126,117,-0.2"
411,"5,Alec Burks,29:48,,,,,,,,,,,,,,,,,,,,,.406,.406,.500,.000,4.0,7.9,6.0,6.4,1.7,6.9,0.0,24.6,92,115,-0.3"
412,"6,Raul Neto,11:00,,,,,,,,,,,,,,,,,,,,,.375,.375,.750,.000,0.0,10.6,5.4,0.0,4.6,0.0,20.0,20.8,62,112,-5.2"
413,"7,Matisse Thybulle,9:29,,,,,,,,,,,,,,,,,,,,,.000,.000,1.000,.000,0.0,12.3,6.2,0.0,5.3,0.0,0.0,4.8,0,110,-1.9"
414,"8,Mike Scott,6:48,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.4,17.4,0.0,0.0,0.0,,0.0,0,116,-2.5"
415,"9,Furkan Korkmaz,4:22,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-5.9"
416,"10,Kyle O'Quinn,240,,,,,,,,,,,,,,,,,,,,,.547,.482,.415,.415,20.0,75.6,48.1,34.3,7.4,10.6,7.6,100.0,111.8,116.0,"
417,"11,Norvel Pelle,Marial Shayok,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
418,"0,Josh Richardson,38:55,4,12,.333,1,3,.333,4,4,1.000,2,4,6,3,0,1,1,3,13,+9,2/24/2020,,,,,,,,,,,,,,,"
419,"1,Joel Embiid,36:22,17,24,.708,1,3,.333,14,15,.933,4,10,14,3,3,1,4,4,49,+19,2/24/2020,,,,,,,,,,,,,,,"
420,"2,Tobias Harris,35:17,9,18,.500,4,6,.667,3,4,.750,0,6,6,4,1,1,0,1,25,+21,2/24/2020,,,,,,,,,,,,,,,"
421,"3,Al Horford,30:47,3,8,.375,1,4,.250,0,0,,1,7,8,5,0,1,1,2,7,+19,2/24/2020,,,,,,,,,,,,,,,"
422,"4,Shake Milton,26:27,3,7,.429,1,3,.333,0,0,,1,4,5,6,1,1,2,3,7,+21,2/24/2020,,,,,,,,,,,,,,,"
423,"5,Furkan Korkmaz,31:01,3,8,.375,3,7,.429,6,7,.857,0,6,6,2,1,0,2,1,15,+8,2/24/2020,,,,,,,,,,,,,,,"
424,"6,Alec Burks,16:21,3,5,.600,1,3,.333,0,0,,0,1,1,2,0,0,1,2,7,-12,2/24/2020,,,,,,,,,,,,,,,"
425,"7,Glenn Robinson,13:42,3,5,.600,0,1,.000,0,0,,0,1,1,1,1,0,0,2,6,-3,2/24/2020,,,,,,,,,,,,,,,"
426,"8,Matisse Thybulle,11:08,0,1,.000,0,0,,0,0,,1,0,1,1,2,0,0,4,0,+3,2/24/2020,,,,,,,,,,,,,,,"
427,"9,Raul Neto,240,45,88,.511,12,30,.400,27,30,.900,9,39,48,27,9,5,11,22,129,,2/24/2020,,,,,,,,,,,,,,,"
428,"10,Kyle O'Quinn,2/24/2020,Mike Scott,2/24/2020,Team Totals,2/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
429,"0,Josh Richardson,38:55,,,,,,,,,,,,,,,,,,,,,.472,.375,.250,.333,6.3,9.3,8.0,9.2,0.0,2.1,6.8,16.2,111,115,-6.3"
430,"1,Joel Embiid,36:22,,,,,,,,,,,,,,,,,,,,,.801,.729,.125,.625,13.5,24.9,20.1,17.6,3.9,2.2,11.6,40.7,148,100,16.8"
431,"2,Tobias Harris,35:17,,,,,,,,,,,,,,,,,,,,,.633,.611,.333,.222,0.0,15.4,8.9,16.6,1.3,2.3,0.0,24.0,136,109,6.4"
432,"3,Al Horford,30:47,,,,,,,,,,,,,,,,,,,,,.438,.438,.500,.000,4.0,20.6,13.6,19.3,0.0,2.6,11.1,12.5,109,110,-2.1"
433,"4,Shake Milton,26:27,,,,,,,,,,,,,,,,,,,,,.500,.500,.429,.000,4.7,13.7,9.9,27.5,1.8,3.1,22.2,14.6,109,109,-0.8"
434,"5,Furkan Korkmaz,31:01,,,,,,,,,,,,,,,,,,,,,.677,.563,.875,.875,0.0,17.5,10.1,7.7,1.5,0.0,15.3,18.0,123,110,-0.4"
435,"6,Alec Burks,16:21,,,,,,,,,,,,,,,,,,,,,.700,.700,.600,.000,0.0,5.5,3.2,16.2,0.0,0.0,16.7,15.7,121,117,-4.0"
436,"7,Glenn Robinson,13:42,,,,,,,,,,,,,,,,,,,,,.600,.600,.200,.000,0.0,6.6,3.8,10.2,3.4,0.0,0.0,15.6,127,109,-1.1"
437,"8,Matisse Thybulle,11:08,,,,,,,,,,,,,,,,,,,,,.000,.000,.000,.000,11.1,0.0,4.7,9.6,8.4,0.0,0.0,3.8,107,101,-1.4"
438,"9,Raul Neto,240,,,,,,,,,,,,,,,,,,,,,.637,.580,.341,.341,23.1,73.6,52.2,60.0,8.8,8.5,9.8,100.0,125.8,109.2,"
439,"10,Kyle O'Quinn,Mike Scott,,,,,,,,,,,,,,,,,,,,,Team Totals,,,,,,,,,,,,,,"
440,"0,Ben Simmons,41:14,12,15,.800,0,0,,4,6,.667,3,7,10,8,4,0,5,3,28,+15,1/25/2020,,,,,,,,,,,,,,,"
441,"1,Tobias Harris,38:16,10,20,.500,3,8,.375,6,7,.857,1,7,8,1,0,1,3,3,29,+6,1/25/2020,,,,,,,,,,,,,,,"
442,"2,Matisse Thybulle,35:35,2,6,.333,2,6,.333,0,0,,1,0,1,1,5,1,2,0,6,+13,1/25/2020,,,,,,,,,,,,,,,"
443,"3,Al Horford,34:52,6,9,.667,2,5,.400,2,2,1.000,0,6,6,1,1,0,2,1,16,+11,1/25/2020,,,,,,,,,,,,,,,"
444,"4,Shake Milton,25:00,3,5,.600,1,3,.333,0,2,.000,1,8,9,3,1,0,1,2,7,+12,1/25/2020,,,,,,,,,,,,,,,"
445,"5,Furkan Korkmaz,23:00,3,11,.273,3,9,.333,0,0,,0,0,0,1,0,0,3,2,9,+5,1/25/2020,,,,,,,,,,,,,,,"
446,"6,Raul Neto,18:59,3,5,.600,2,3,.667,1,2,.500,1,1,2,3,1,1,3,4,9,+6,1/25/2020,,,,,,,,,,,,,,,"
447,"7,Mike Scott,9:44,1,3,.333,0,2,.000,0,0,,1,3,4,0,0,0,1,2,2,+11,1/25/2020,,,,,,,,,,,,,,,"
448,"8,James Ennis,8:32,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-1,1/25/2020,,,,,,,,,,,,,,,"
449,"9,Zhaire Smith,2:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+3,1/25/2020,,,,,,,,,,,,,,,"
450,"10,Jonah Bolden,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,1/25/2020,,,,,,,,,,,,,,,"
451,"11,Trey Burke,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,1/25/2020,,,,,,,,,,,,,,,"
452,"12,Kyle O'Quinn,240,41,78,.526,13,37,.351,13,19,.684,8,33,41,19,12,3,21,18,108,,1/25/2020,,,,,,,,,,,,,,,"
453,"13,Team Totals,1/25/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
454,"0,Ben Simmons,41:14,,,,,,,,,,,,,,,,,,,,,.794,.800,.000,.400,9.4,20.9,15.3,34.5,4.7,0.0,22.1,24.5,137,88,13.8"
455,"1,Tobias Harris,38:16,,,,,,,,,,,,,,,,,,,,,.628,.575,.400,.350,3.4,22.5,13.2,4.4,0.0,2.8,11.5,30.5,116,95,2.4"
456,"2,Matisse Thybulle,35:35,,,,,,,,,,,,,,,,,,,,,.500,.500,1.000,.000,3.6,0.0,1.8,3.5,6.8,3.0,25.0,10.1,87,85,7.2"
457,"3,Al Horford,34:52,,,,,,,,,,,,,,,,,,,,,.810,.778,.556,.222,0.0,21.2,10.9,4.2,1.4,0.0,16.8,15.2,133,95,5.1"
458,"4,Shake Milton,25:00,,,,,,,,,,,,,,,,,,,,,.595,.700,.600,.400,5.2,39.4,22.7,16.3,1.9,0.0,14.5,12.3,121,91,4.0"
459,"5,Furkan Korkmaz,23:00,,,,,,,,,,,,,,,,,,,,,.409,.409,.818,.000,0.0,0.0,0.0,6.0,0.0,0.0,21.4,27.2,69,100,-11.9"
460,"6,Raul Neto,18:59,,,,,,,,,,,,,,,,,,,,,.765,.800,.600,.400,6.8,6.5,6.7,22.7,2.6,5.6,33.8,20.9,113,90,5.9"
461,"7,Mike Scott,9:44,,,,,,,,,,,,,,,,,,,,,.333,.333,.667,.000,13.3,37.9,26.0,0.0,0.0,0.0,25.0,18.4,66,94,-12.4"
462,"8,James Ennis,8:32,,,,,,,,,,,,,,,,,,,,,.250,.250,.250,.000,0.0,14.4,7.4,0.0,0.0,0.0,20.0,26.2,42,98,-20.9"
463,"9,Zhaire Smith,2:58,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,39.5,0.0,0.0,,0.0,232,101,8.7"
464,"10,Trey Burke,0:55,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,101,-4.9"
465,"11,Jonah Bolden,0:55,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,101,-2.2"
466,"12,Kyle O'Quinn,240,,,,,,,,,,,,,,,,,,,,,.625,.609,.474,.244,21.6,84.6,53.9,46.3,12.2,6.7,19.6,100.0,109.4,92.2,"
467,"13,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
468,"0,Ben Simmons,32:17,6,11,.545,0,0,,3,5,.600,1,2,3,7,2,1,0,0,15,+15,2/25/2021,,,,,,,,,,,,,,,"
469,"1,Seth Curry,29:02,6,9,.667,3,3,1.000,0,0,,0,3,3,2,3,1,1,1,15,+17,2/25/2021,,,,,,,,,,,,,,,"
470,"2,Joel Embiid,27:41,5,20,.250,2,5,.400,11,12,.917,3,6,9,4,2,1,0,3,23,+7,2/25/2021,,,,,,,,,,,,,,,"
471,"3,Danny Green,23:16,2,4,.500,2,4,.500,0,0,,0,4,4,1,2,0,0,2,6,+5,2/25/2021,,,,,,,,,,,,,,,"
472,"4,Tobias Harris,22:17,2,7,.286,0,1,.000,2,2,1.000,0,2,2,2,1,0,0,0,6,+5,2/25/2021,,,,,,,,,,,,,,,"
473,"5,Mike Scott,21:37,2,5,.400,2,5,.400,0,0,,0,3,3,0,0,0,0,0,6,+16,2/25/2021,,,,,,,,,,,,,,,"
474,"6,Shake Milton,19:15,4,13,.308,0,3,.000,2,2,1.000,1,3,4,6,0,0,2,2,10,+17,2/25/2021,,,,,,,,,,,,,,,"
475,"7,Furkan Korkmaz,18:59,3,7,.429,2,5,.400,1,2,.500,0,1,1,2,0,0,0,2,9,+3,2/25/2021,,,,,,,,,,,,,,,"
476,"8,Dwight Howard,16:13,6,7,.857,0,1,.000,2,2,1.000,3,5,8,1,1,3,3,2,14,+14,2/25/2021,,,,,,,,,,,,,,,"
477,"9,Matisse Thybulle,10:01,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,+3,2/25/2021,,,,,,,,,,,,,,,"
478,"10,Isaiah Joe,4:32,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-7,2/25/2021,,,,,,,,,,,,,,,"
